Timestamp,body,@requestId,requestContext.requestId,ColdStartDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2023-04-11 04:51:19.425,dHBzPTMmaW50ZXJ2YWw9MQ==,,c4a329ba-cb4e-40b0-add2-b623e898e7e3,,,,,
2023-04-11 04:51:19.427,dHBzPTMmaW50ZXJ2YWw9MQ==,,8c10e122-d816-4f8e-a5ab-7e471c90bcfd,,,,,
2023-04-11 04:51:19.435,dHBzPTMmaW50ZXJ2YWw9MQ==,,6148f496-7000-4211-b5cf-eeeeed39ef65,,,,,
2023-04-11 04:51:19.444,,6148f496-7000-4211-b5cf-eeeeed39ef65,,,9.93,10.0,128,53
2023-04-11 04:51:19.445,,c4a329ba-cb4e-40b0-add2-b623e898e7e3,,,24.37,25.0,128,53
2023-04-11 04:51:19.464,,8c10e122-d816-4f8e-a5ab-7e471c90bcfd,,,37.58,38.0,128,54
2023-04-11 04:51:20.906,dHBzPTMmaW50ZXJ2YWw9MQ==,,1ce0db9e-dee0-46f5-9b38-b0af876e927a,,,,,
2023-04-11 04:51:20.909,dHBzPTMmaW50ZXJ2YWw9MQ==,,961dac3e-918b-4ed4-8b77-2cfff6eed312,,,,,
2023-04-11 04:51:20.924,,1ce0db9e-dee0-46f5-9b38-b0af876e927a,,,17.82,18.0,128,54
2023-04-11 04:51:20.925,,961dac3e-918b-4ed4-8b77-2cfff6eed312,,,16.45,17.0,128,53
2023-04-11 04:51:20.940,dHBzPTMmaW50ZXJ2YWw9MQ==,,7a5bcb4b-1728-40a1-a36f-7d183ed34991,,,,,
2023-04-11 04:51:20.984,,7a5bcb4b-1728-40a1-a36f-7d183ed34991,,,44.97,45.0,128,53
2023-04-11 04:51:22.266,dHBzPTMmaW50ZXJ2YWw9MQ==,,ce30e347-8db6-4d23-a9c6-0c10d63e1476,,,,,
2023-04-11 04:51:22.281,dHBzPTMmaW50ZXJ2YWw9MQ==,,50d7019b-b77c-481a-9306-99e49132d8c5,,,,,
2023-04-11 04:51:22.284,,50d7019b-b77c-481a-9306-99e49132d8c5,,,3.47,4.0,128,54
2023-04-11 04:51:22.285,,ce30e347-8db6-4d23-a9c6-0c10d63e1476,,,20.66,21.0,128,53
2023-04-11 04:51:22.288,dHBzPTMmaW50ZXJ2YWw9MQ==,,b7deacaf-ed44-4061-bf66-9de7c057a642,,,,,
2023-04-11 04:51:22.324,,b7deacaf-ed44-4061-bf66-9de7c057a642,,,36.33,37.0,128,53
2023-04-11 04:51:23.582,dHBzPTMmaW50ZXJ2YWw9MQ==,,c2b2c70f-31f3-437e-a91a-b8c8aef6de2e,,,,,
2023-04-11 04:51:23.584,,c2b2c70f-31f3-437e-a91a-b8c8aef6de2e,,,2.39,3.0,128,53
2023-04-11 04:51:23.586,dHBzPTMmaW50ZXJ2YWw9MQ==,,5cd3004c-ad56-4796-9dd5-5be636cf48f2,,,,,
2023-04-11 04:51:23.597,dHBzPTMmaW50ZXJ2YWw9MQ==,,6012c4da-d5dd-49af-a37c-8535afd07fd0,,,,,
2023-04-11 04:51:23.604,,6012c4da-d5dd-49af-a37c-8535afd07fd0,,,7.82,8.0,128,53
2023-04-11 04:51:23.604,,5cd3004c-ad56-4796-9dd5-5be636cf48f2,,,17.98,18.0,128,54
2023-04-11 04:51:24.909,dHBzPTMmaW50ZXJ2YWw9MQ==,,20c8790c-da69-47f6-ba14-951ff6623ac6,,,,,
2023-04-11 04:51:24.921,dHBzPTMmaW50ZXJ2YWw9MQ==,,72d6d852-1731-4b2e-81ea-0910497eb4d4,,,,,
